TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,12.225,0.0,228.438,112.33,0.0,325.426,0.0,4.723,0.0,99.9,0.0,4.386,0.0,3.872,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124.799,0.0,172.147,-9999,25.5705,0.0,35.2717,-9999,0.0111205,0.0,-9999,-0.103366,-0.0492186,0.0111205,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,13.783,0.0,284.812,129.104,0.0,334.112,0.0,5.64,0.0,99.819,0.0,3.287,0.0,3.619,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124.99,0.0,171.125,-9999,26.0197,0.0,35.6238,-9999,0.0183232,0.0,-9999,-0.0933056,-0.0404193,0.0183232,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,15.212,0.0,357.428,184.682,0.0,333.086,0.0,6.915,0.0,100.222,0.0,3.47,0.0,3.898,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.178,0.0,176.446,-9999,25.9395,0.0,36.5632,-9999,0.016289,0.0,-9999,-0.0961777,-0.0434383,0.016289,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,19.896,0.0,423.314,249.169,0.0,354.682,0.0,8.971,0.0,99.648,0.0,2.073,0.0,3.636,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124.989,0.0,162.723,-9999,25.8374,0.0,33.6376,-9999,0.0151416,0.0,-9999,-0.09776,-0.04449,0.0151416,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,21.457,0.0,465.712,260.27,0.0,370.307,0.0,8.974,0.0,99.446,0.0,4.343,0.0,3.096,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124.799,0.0,169.608,-9999,25.5705,0.0,34.7516,-9999,0.0111205,0.0,-9999,-0.103366,-0.0492186,0.0111205,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,24.029,0.0,482.038,224.374,0.0,404.804,0.0,7.944,0.0,99.563,0.0,8.186,0.0,2.932,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.6365,0.0,124.989,0.0,168.193,-9999,25.8374,0.0,34.7683,-9999,0.0151416,0.0,-9999,-0.09776,-0.04449,0.0151416,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,26.641,0.0,473.221,264.564,0.0,418.98,0.0,10.598,0.0,99.736,0.0,1.785,0.0,2.212,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50861,0.0,124.99,0.0,170.837,-9999,26.0021,0.0,35.5399,-9999,0.0180153,0.0,-9999,-0.0937367,-0.0408132,0.0180153,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,25.69,0.00873656,439.296,213.56,0.00873656,416.775,0.00873656,9.466,0.00873656,99.619,0.00806452,4.532,0.00806452,2.424,0.00672043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.53914,0.00873656,124.714,0.00806452,127.848,1.64232,24.5644,0.00806452,25.1817,1.25691,0.0248603,0.0,-9999,-0.0863948,-0.034867,0.0248603,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,23.329,1.0,382.812,218.934,1.0,380.319,1.0,9.801,1.0,99.545,0.989583,2.084,1.0,2.914,0.947917,0.28906582042991136,0.9215277777777778,128.18716903073286,0.9986111111111111,455.33416489361707,0.8326388888888888,19.41044822695035,0.8326388888888888,64.74156060030394,0.9326388888888889,26.51788504728133,0.9986111111111111,446.5144592198582,0.9993055555555554,-9999,-9999,23.304,23.105,22.93,22.737,22.665,22.378,22.389,21.696,21.365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.137262,0.998611,93.5767,0.999306,95.9281,1.32062,32.5244,0.999306,33.3416,0.826923,0.55486,0.168056,-9999,0.360992,0.498583,0.55486,0.166667,0.168056,0.168056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,18.611,1.0,311.461,174.232,1.0,348.148,1.0,6.525,1.0,99.787,0.987903,3.643,1.0,3.473,0.588038,0.3792666926650223,0.5658602150537634,82.11189200510714,0.9872311827956989,366.4788827157032,0.9153225806451613,17.502903318950626,0.9153225806451613,47.889231245965775,0.9126344086021506,23.315716675745485,0.9879032258064516,419.33650081656566,0.9885752688172044,419.608,0.416667,21.087,21.016,21.103,21.08,21.388,21.596,21.566,21.025,20.79,1.0,1.0,1.0,1.0,1.0,0.372312,0.999328,0.999328,0.999328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.08275,0.984543,58.8047,0.693548,60.2824,0.88506,22.047,0.698253,22.601,0.851338,2.4823,0.280242,-9999,2.09642,2.43041,2.4823,0.270833,0.280242,0.280242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201711,14.016,1.0,245.365,126.598,1.0,320.339,1.0,4.825,1.0,99.954,0.990278,0.017,1.0,3.175,0.4,-9999,-9999,37.776997584541064,0.9965277777777779,260.60424584226587,0.9916666666666667,13.875125657398844,0.9916666666666667,42.067137955643396,0.9958333333333333,18.264756602254426,0.9965277777777779,391.10326630434787,0.9965277777777779,421.909,0.715278,16.412,16.428,16.66,16.793,17.332,16.294,18.117,17.953,17.978,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.51897,0.999306,35.785,0.663194,49.3535,0.617922,27.771,0.674306,38.3008,0.9428,0.586731,0.288194,-9999,0.497959,0.525608,0.580029,0.288194,0.288889,0.288194,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201712,7.975,0.900538,211.988,78.454,0.902554,314.755,0.900538,2.965,0.900538,100.289,0.887769,1.054,1.0,3.108,0.0,-9999,-9999,26.857479535695116,0.8696236559139786,169.5760170481151,0.8689516129032258,9.045195820627905,0.8689516129032258,35.37367149758454,0.8696236559139786,11.058510802469133,0.8696236559139786,360.76032608695647,0.8696236559139786,425.492,0.884409,12.72,12.735,13.063,13.286,13.958,12.162,14.947,14.902,14.966,0.959005,0.959005,0.959677,0.959005,0.959005,0.112903,0.959005,0.959005,0.959005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.7165,0.198253,17.0711,0.0,27.3354,1.11211,5.16437,0.0,8.26953,2.64532,0.878596,0.0,-9999,0.831672,0.849481,0.869281,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201801,5.057,1.0,228.438,125.38,1.0,278.848,0.999328,3.891,1.0,100.74,0.998656,3.617,1.0,3.905,0.239919,-9999,-9999,44.89362360493569,0.9966397849462365,246.7211173654244,0.9018817204301076,13.447012810559007,0.9018817204301076,32.45232952115226,0.9973118279569892,17.554848693961187,0.9979838709677419,344.3387069419991,0.9979838709677419,420.554,0.989247,9.159,9.239,9.567,9.99,10.779,11.924,11.965,12.022,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,17.062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000672043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.1142,0.0,16.502,0.400538,23.2949,0.451567,13.2018,0.459677,18.6362,0.992997,0.164976,0.364247,0.0583334,0.0959802,0.160803,0.172696,0.398522,0.362231,0.358199,1.0324,1.01808,1.0301,1.04827,0.867422,0.847355,0.875573,0.922364,1.00834,0.974758,1.25142,3.51472,1.4974,1.69626,1.90386,3.2274,-9999,-9999
